"gene","logFC","logCPM","F","PValue","FDR","pct_tumor_cells_descriptive","pct_normal_cells_descriptive","experimental_unit","is_cell_cycle_like"
"ARHGAP44",-3.03239262691091,3.37251608024095,89.201214109452,3.57261121789545e-07,4.88780325964817e-05,0.0479126299101638,0.158648925281474,"paired_patient_pseudobulk",FALSE
"DPEP1",5.53120798430024,6.61552528279745,81.3980339157216,3.7378752920338e-07,5.05832036802401e-05,0.672362163114321,0.0245649948822927,"paired_patient_pseudobulk",FALSE
"APOBR",-3.93593775211145,3.80901924393952,88.0494686470271,3.83519280859804e-07,5.12366291090839e-05,0.0380482649286595,0.228249744114637,"paired_patient_pseudobulk",FALSE
"DHRS11",-2.13041229718746,5.42690997729487,87.4829491865612,3.89247711718474e-07,5.12366291090839e-05,0.271446186366038,0.381780962128966,"paired_patient_pseudobulk",FALSE
"IFITM1",2.69909916640376,5.09692272196093,78.1119439886351,3.90962230149636e-07,5.12366291090839e-05,0.506605601550114,0.0696008188331627,"paired_patient_pseudobulk",FALSE
"CA12",-2.71680482584343,5.82324635315965,87.0444434433517,3.9631658870117e-07,5.1397307597183e-05,0.203276378368857,0.422722620266121,"paired_patient_pseudobulk",FALSE
"MUC12",-2.19286413637397,6.89218044780424,86.4820774327094,4.13239204072563e-07,5.26107705747947e-05,0.416945569843227,0.548618219037871,"paired_patient_pseudobulk",FALSE
"NXPE1",-5.42178274936507,3.97128461815846,85.0413348248754,4.14360648702824e-07,5.26107705747947e-05,0.0149726968469262,0.246673490276356,"paired_patient_pseudobulk",FALSE
"CA2",-5.70633967251035,7.50744132413604,86.0869479617201,4.22935900342889e-07,5.26107705747947e-05,0.13862955786507,0.638689866939611,"paired_patient_pseudobulk",FALSE
"KIF19",-4.85606293458141,0.237366962523713,59.9477531775719,4.26530658177083e-07,5.26107705747947e-05,0.00158534437202748,0.0276356192425793,"paired_patient_pseudobulk",TRUE
"GAL",4.89800657023661,5.55248730718962,67.3209349705201,4.26802235185082e-07,5.26107705747947e-05,0.475603311608244,0.0214943705220061,"paired_patient_pseudobulk",FALSE
