"dataset","contrast","case_condition","reference_condition","cell_class","feature","n_pairs","mean_paired_difference","bootstrap_CI_low","bootstrap_CI_high","median_paired_difference","paired_difference_sd","paired_Cohen_dz","Wilcoxon_p","paired_t_p_sensitivity","status","BH_FDR","score_type"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","ECM21_module_balanced",10,-0.717581203710556,-1.44299973568176,0.0265142088284647,-0.699590619923642,1.26948982305912,-0.565251639419512,0.126278928554698,0.107497932152963,"estimated",0.337868072409964,"full_panel_module_balanced"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","ECM19_structural_gene_equal",0,,,,,,,,,"insufficient_pairs",,"structural_core"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","ECM21_gene_equal",0,,,,,,,,,"insufficient_pairs",,"full_panel_gene_equal"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","ECM21_minus_M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","ECM21_minus_M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","ECM21_minus_M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","ECM21_minus_M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Mast","ECM21_module_balanced",0,,,,,,,,,"insufficient_pairs",,"full_panel_module_balanced"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","ECM19_structural_gene_equal",0,,,,,,,,,"insufficient_pairs",,"structural_core"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","ECM21_gene_equal",0,,,,,,,,,"insufficient_pairs",,"full_panel_gene_equal"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","ECM21_minus_M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","ECM21_minus_M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","ECM21_minus_M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","ECM21_minus_M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Epithelial","ECM21_module_balanced",0,,,,,,,,,"insufficient_pairs",,"full_panel_module_balanced"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","ECM19_structural_gene_equal",0,,,,,,,,,"insufficient_pairs",,"structural_core"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","ECM21_gene_equal",0,,,,,,,,,"insufficient_pairs",,"full_panel_gene_equal"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","ECM21_minus_M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","ECM21_minus_M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","ECM21_minus_M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","ECM21_minus_M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Fibroblast","ECM21_module_balanced",0,,,,,,,,,"insufficient_pairs",,"full_panel_module_balanced"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","ECM19_structural_gene_equal",0,,,,,,,,,"insufficient_pairs",,"structural_core"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","ECM21_gene_equal",0,,,,,,,,,"insufficient_pairs",,"full_panel_gene_equal"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","ECM21_minus_M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","ECM21_minus_M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","ECM21_minus_M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","ECM21_minus_M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"leave_one_module_out"
"GSE132465","Border_vs_Normal","Border","Normal","Pericyte","ECM21_module_balanced",0,,,,,,,,,"insufficient_pairs",,"full_panel_module_balanced"
"GSE132465","Border_vs_Normal","Border","Normal","Smooth_muscle","M1_interstitial_pericellular_collagen",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Smooth_muscle","M2_basement_membrane",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Smooth_muscle","M3_matrix_organizing_glycoproteins",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Smooth_muscle","M4_secreted_heparin_binding_factors",0,,,,,,,,,"insufficient_pairs",,"module"
"GSE132465","Border_vs_Normal","Border","Normal","Smooth_muscle","ECM19_structural_gene_equal",0,,,,,,,,,"insufficient_pairs",,"structural_core"
