cohort_split,time,n_risk,n_event,n_censor,survival,lower,upper,risk_group
Validation,22.0,50,1,0,0.7470554940280741,0.6499203056366092,0.8587082236350017,High
Validation,23.0,49,1,0,0.7318094635377053,0.6330098923248924,0.8460295761831088,High
Validation,24.0,48,1,0,0.7165634330473364,0.6162647178515053,0.8331860298130978,High
Validation,30.0,47,1,0,0.7013174025569675,0.599676027827249,0.8201863611445538,High
Validation,31.0,46,0,1,0.7013174025569675,0.599676027827249,0.8201863611445538,High
Validation,32.0,45,1,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,33.0,43,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,35.0,42,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,42.0,41,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,47.0,40,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,48.0,39,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,52.0,38,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,53.0,37,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,54.0,35,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,55.0,34,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,57.0,33,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,59.0,32,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,64.0,30,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,65.0,29,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,70.0,28,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,72.0,26,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,74.0,25,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,75.0,23,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,76.0,22,0,2,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,79.0,20,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,80.0,19,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,84.0,18,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
Validation,85.0,17,0,1,0.6857325713890349,0.5827970265653585,0.8068489337275014,High
