iteration,wald_z,HR_per_SD,mean_matching_distance,maximum_matching_distance,n_genes,unique_genes,genes,warning
3203,-2.22892220651719,0.792102195557072,0.257150236045989,0.751437815714203,21,21,"PM20D2;CXCL9;PALLD;GOLGA8N;RASGRP1;SGK1;IFI6;MUC13;AKR1C3;WFS1;CLMN;CPNE1;ITGA11;RUVBL1;RASEF;AK4;DDX27;IL1RN;CCDC28B;DLGAP4;TTC22",""
3204,-1.03425904832529,0.870210243984151,0.269552819305598,1.16328601222779,21,21,"FGL2;GSTM3;PTGER4;GADD45B;FGF19;CRYZ;MMP2;TCEAL9;MGST1;CHML;TLR2;ZNF292;TBC1D2;ARID5B;MMP11;ASPN;SLC35F5;EFEMP1;GDPD2;LOC100996583;IL17RB",""
3205,-0.524975694123913,0.950908205899507,0.330358623853635,1.13900341794307,21,21,"DUOXA2;GDA;SNHG29;PCDH18;PDZK1;GSN;CKB;TPX2;COL15A1;PITPNC1;MT-ND6;MYO5C;ANKRD9;GDE1;DDX60;RAB27B;MED13;SRGN;P2RY2;SCAI;TTC22",""
3206,-1.86917314859406,0.824134130295216,0.299048978526835,1.24711443431917,21,21,"MAFB;CRYZL2P;MYADM;CNN3;TAF9B;DPYSL2;MXRA5;GMDS;SLC6A6;GALNT7;WWOX;CD47;KIF1C;ELF1;PLAAT3;IL1RN;FNTA;ZDHHC2;MADCAM1;PNN;CTSV",""
3207,-1.17089815962205,0.895531643325276,0.299998743901314,1.11255270913338,21,21,"AMIGO2;MRC1;PIP5K1B;VWF;NSUN7;ZNF91;MLPH;MAOA;FAM13A;EZH2;ARAP3;KRAS;CDV3;CRBN;TPM4;DUOX2;GSE1;NT5E;C2CD4B;NEIL3;CDH1",""
3208,-1.76612840614344,0.852503825660177,0.309556218509076,1.19105120119854,21,21,"AQP3;COL8A1;FUT4;ENGASE;VGLL3;NRARP;NOX1;RASSF3;PI3;FA2H;HIBADH;ABCC3;GMPS;MAPK6;CBX5;PTPRO;CCNL2;TIMP3;MADCAM1;TGIF2;TPM4",""
3209,-1.4781693454927,0.874284575285967,0.260250441334387,1.11883186564548,21,21,"WWTR1;POF1B;SLC7A5;SLC44A3;TNNC1;TIMP2;MRPS21;PCLAF;FABP5;STARD4;LRRC75A;CCNB2;TRAPPC6B;GLOD4;GASK1B;ALOX5;H2AX;NOX1;POU5F1P3;SLC9B2;GSDMB",""
3210,-2.04963059530136,0.782348835722755,0.268584763976006,0.824884459233123,21,21,"ARL14;IL1RN;CPNE1;FERMT1;EFNA5;RAB31;NPNT;PMEPA1;JCHAIN;NUCB2;ARFIP1;PURA;BMP1;BMI1;MTSS1;MGP;PANK3;PLCB4;ZNF8;ZNF585B;ITGA5",""
3211,-1.21443150840432,0.888809403897874,0.264424837921168,1.24711443431917,21,21,"BGN;FGGY;EPS8L3;NUCB2;SLCO5A1;AOC1;LOC105379173;RNASE1;SLC6A6;RAD51AP1;LRRC75A;CPNE3;YOD1;COMT;SELENOM;S100A8;MYO1D;IGLJ3;MADCAM1;CCDC146;TUBB6",""
3212,-1.65899838290438,0.849118304626136,0.262928730145898,1.2261616257512,21,21,"PARM1;PLAAT4;PMP22;CDKN3;MAP9;ATP8B1;IL2RG;RNASE1;GOLM1;MSH2;METRN;RCAN1;SLC27A5;CHMP2B;TYROBP;PLCB4;TMED4;CREB3L1;ATG4C;FBXL2;KHDRBS3",""
3213,-1.63181653276767,0.813596332074625,0.276844076046565,1.257779831943,21,21,"PTGIS;WWTR1;PSMB9;ENGASE;CCDC88A;MXRA7;UGT8;SERPINE2;ELOVL5;IRF7;ATP2B4;GMNN;AGFG1;RPF2;ANP32E;IGFBP2;EFNA1;CXCL10;NKX3-2;AHNAK;THAP9-AS1",""
